Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
JDT,60,1,28,1,68,0
LC,52,0,28,0,62,0
EQ,0,0,0,0,50,0
PDE,0,0,0,0,49,3
