Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
log4j,67,2,28,1,75,0
ant,63,3,25,2,74,0
lucene,60,2,26,1,73,1
camel,54,6,26,2,70,2
xalan,55,4,26,2,69,2
ivy,49,3,23,1,69,2
xerces,51,4,26,1,67,2
velocity,36,7,26,1,58,3
