Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
lucene,42,3,27,2,61,0
log4j,41,2,28,1,60,0
ant,40,3,26,2,59,0
ivy,34,3,24,2,57,1
velocity,36,3,27,1,57,1
jedit,35,3,25,1,56,1
xalan,33,2,27,2,55,1
xerces,32,3,27,1,54,2
