Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
lucene,60,1,26,1,72,0
velocity,62,3,26,1,72,0
xalan,56,3,26,1,71,0
log4j,55,2,26,1,71,0
camel,49,1,25,1,64,1
ant,49,3,26,1,61,2
xerces,40,2,26,1,53,1
jedit,30,2,27,1,47,0
