Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
log4j,70,2,27,1,78,0
lucene,67,1,26,1,77,0
xalan,70,2,26,1,76,0
xerces,67,1,26,1,75,0
ivy,68,2,27,2,75,0
velocity,65,4,27,1,73,2
camel,28,8,27,1,47,7
jedit,7,1,28,2,24,0
