Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
camel,48,1,26,1,64,0
lucene,47,2,27,2,62,0
velocity,45,2,26,1,62,1
xerces,46,2,28,2,61,0
log4j,48,2,27,2,61,0
ivy,41,1,26,1,59,1
ant,35,2,27,1,52,1
jedit,30,2,26,2,49,1
