Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
LC,55,5,27,2,66,4
EQ,47,12,28,1,59,9
PDE,41,13,27,1,56,9
ML,21,10,27,1,43,6
