Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
camel,51,3,25,1,65,2
ivy,52,3,27,2,64,2
jedit,46,6,25,2,61,4
xerces,43,8,26,1,59,5
xalan,39,8,26,2,58,5
lucene,39,13,26,1,56,9
velocity,36,15,27,1,53,11
ant,18,4,27,2,46,2
