Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
ant,47,7,26,1,67,2
xerces,51,4,26,1,65,2
lucene,49,8,26,2,63,4
velocity,45,6,26,1,62,3
ivy,42,9,27,2,61,6
jedit,35,8,26,1,61,2
xalan,41,11,25,2,60,6
camel,38,5,27,2,57,3
