Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
log4j,46,2,27,1,62,2
lucene,42,3,27,2,61,1
xalan,40,3,26,2,60,1
xerces,35,2,26,1,57,2
velocity,37,3,27,1,55,3
ant,34,7,27,2,53,4
jedit,26,7,27,2,48,4
ivy,19,4,27,1,43,3
