Name,Pd (Mean),Pd (Std),Pf (Mean),Pf (Std),AUC (Mean),AUC (Std)
log4j,44,3,27,2,62,1
lucene,44,4,27,1,61,0
xerces,44,1,26,1,61,1
xalan,43,5,28,2,59,2
camel,31,4,26,2,52,2
ivy,30,5,26,1,52,2
jedit,28,4,26,1,51,3
ant,24,6,26,1,47,4
